feature,spearman_global,spearman_within_effort_median,n_efforts_with_corr
tokens_per_step,0.7413693566827688,0.7485803785399652,5
steps_per_100k_out,-0.7413693566827688,-0.7485803785399652,5
context_per_step,0.5453154720289657,0.5,5
peak_context,0.4752496895936954,0.2771306468162403,5
cost,0.4595195195941203,0.3802197802197802,5
sec_per_step,0.44916099565840634,0.3706293706293707,5
input_per_step,0.3563892154098332,0.27155398559449767,5
out_tokens,0.2933456989564932,0.07124420154380358,5
duration,0.20519326046303588,-0.14725274725274726,5
sec_per_1k_out,-0.1558502917152094,-0.1384615384615385,5
input_tokens,0.1506360347340561,-0.07743934950413432,5
cache_ratio,0.13952511801247103,0.23644814715262347,5
steps,-0.014277965424902983,-0.26742388695427716,5
