model,provider_family,mode,n_efforts,efforts,peak_pass1,upper_pass1_mean,breadth_residual_median,spam_strength,local_mechanical_strength,spam_persistence,surgical_strength,upper_steps_pct,upper_depth_pct,upper_delib_pct,interaction_style,evidence,mean_ci_half_pp,effort_response,hunger_strength,top_efficiency,top_gain,top_gain_z,top_dependency,top3_range,transition_notes,phenotype,trueiq,spec_score_p10,spec_score_p90,spec_score_min,spec_score_max,spec_rank_median,spec_rank_best,spec_rank_worst,profile_before_benchmax,benchmax_factor,spec_width,rank_sensitivity,rank
claude-opus-5,anthropic,tunable,5,"low,medium,high,xhigh,max",73.64864864864865,73.21050628661875,1.7699115044247833,0.0,0.0,0.0,0.0,0.47058823529411764,0.8823529411764706,0.3076923076923077,CLEAN,STABLE,2.476394203549542,THRESHOLDED,0.01529167317606593,OVERTHINKING,0.49428623254125625,0.19627127563031996,0.006711409395973021,0.8201408535484234,low->medium: +10.77pp; medium->high: +3.92pp; high->xhigh: +0.33pp; xhigh->max: +0.49pp,CLEAN · THRESHOLDED · OVERTHINKING · STABLE,73.56480004737426,73.44220378376764,73.69122152332412,73.4029256420439,73.72978874636541,1.0,1.0,2.0,73.56480004737426,1.0,0.24901773955647855,1.0,1
gpt-6-astra,openai,tunable,5,"low,medium,high,xhigh,max",74.11504424778761,73.52507374631269,-5.309734513274321,0.0,0.0,0.0,0.9734168706499537,0.0,0.9411764705882353,0.9230769230769231,SURGICAL,STABLE,2.2019444243343083,SATURATING,0.0,OVERTHINKING,-0.8849557522123916,-0.5814125833264691,0.0,0.8849557522123916,low->medium: +5.75pp; medium->high: +0.44pp; high->xhigh: +0.88pp; xhigh->max: -0.88pp,SURGICAL · SATURATING · OVERTHINKING · STABLE,73.52101769911505,73.22269911504425,73.825,73.17566371681416,73.85619469026548,2.0,1.0,2.0,73.52101769911505,1.0,0.6023008849557527,1.0,2
gpt-5-6-sol,openai,tunable,5,"low,medium,high,xhigh,max",72.66666666666667,70.93323478689332,1.4210854715202004e-14,0.0,0.0,0.0,0.32063222665998253,0.11764705882352941,0.6153846153846154,0.6153846153846154,CLEAN,STABLE,1.810526302542971,THRESHOLDED,0.09134761298836536,OVERTHINKING,1.9349593495934982,1.287351450204137,0.02662788095770869,3.265336289726548,low->medium: +15.71pp; medium->high: +8.34pp; high->xhigh: +1.33pp; xhigh->max: +1.93pp,CLEAN · THRESHOLDED · OVERTHINKING · STABLE,71.93228584136205,71.70519361268633,72.11435449901563,71.69584626755359,72.11953149016608,3.0,3.0,3.0,71.93228584136205,1.0,0.40916088632930325,0.0,3
claude-fable-5,anthropic,tunable,5,"low,medium,high,xhigh,max",69.91150442477876,69.41364207659043,0.8849557522123916,0.0,0.0,0.0,0.4628139107222369,0.23076923076923078,1.0,0.38461538461538464,CLEAN,STABLE,3.1230337736155076,SATURATING,0.0,OVERTHINKING,-0.18673378257692264,-0.07070082735637656,0.0,1.3068532619880529,low->medium: +5.78pp; medium->high: +3.24pp; high->xhigh: +1.31pp; xhigh->max: -0.19pp,CLEAN · SATURATING · OVERTHINKING · STABLE,69.76745236306033,69.6838667156945,69.87998090651794,69.6505899862357,69.90187253012003,4.0,4.0,4.0,69.76745236306033,1.0,0.19611419082343673,0.0,4
glm-5-3,zhipu,single,1,max,68.95787139689578,68.95787139689578,1.7699115044247833,0.0,0.0,0.0,0.0,0.6923076923076923,0.15384615384615385,0.7692307692307693,CLEAN,SINGLE-SETTING,3.0186512715587,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CLEAN · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,69.04636697211703,68.95787139689578,69.13486254733826,68.95787139689578,69.13486254733826,5.0,5.0,5.0,69.04636697211703,1.0,0.1769911504424755,0.0,5
kimi-k3,moonshot,fixed,1,max,68.51441241685144,68.51441241685144,3.5398230088495666,0.0,0.0,0.0,0.0,0.3076923076923077,0.5384615384615384,1.0,CLEAN,FIXED-EFFORT,4.53701407928232,FIXED-EFFORT,0.0,FIXED-RUN,,,,0.0,,CLEAN · FIXED-EFFORT · FIXED-RUN · FIXED-EFFORT,68.69140356729392,68.51441241685144,68.8683947177364,68.51441241685144,68.8683947177364,6.0,6.0,6.0,68.69140356729392,1.0,0.353982300884951,0.0,6
grok-4-6,xai,tunable,4,"low,medium,high,xhigh",67.47787610619469,66.4689742231292,-0.08849557522123064,0.0,0.17785357260031837,0.0,0.0,0.5882352941176471,0.6363636363636364,0.35294117647058826,CLEAN,STABLE,2.0771853450925413,SATURATING,0.04502964401739727,OVERTHINKING,1.5521064301552059,1.1428554332273801,0.023001708407546003,2.289406039675839,low->medium: +25.83pp; medium->high: -2.29pp; high->xhigh: +1.55pp,CLEAN · SATURATING · OVERTHINKING · STABLE,66.83350272501619,66.7069316047917,66.97261164472263,66.67031620979927,67.0029138786963,7.0,7.0,8.0,66.83350272501619,1.0,0.2656800399309276,1.0,7
gpt-5-6-terra,openai,tunable,5,"low,medium,high,xhigh,max",69.62305986696231,61.18703765476915,1.5170670037926755,0.0,0.0,0.0,0.0,0.07692307692307693,0.5384615384615384,0.15384615384615385,CLEAN,VARIABLE,2.6337864579875867,STEADY-SCALER,0.8046496883316567,SCALING,9.446068716519825,5.569480989232969,0.13567442646975927,15.86199792005965,low->medium: +11.06pp; medium->high: +18.65pp; high->xhigh: +6.42pp; xhigh->max: +9.45pp,CLEAN · STEADY-SCALER · SCALING · VARIABLE,66.1078819781712,65.00124955871368,66.99176639809167,64.89650457194435,67.12456255075509,8.0,7.0,8.0,66.1078819781712,1.0,1.9905168393779888,1.0,8
gpt-5-5,openai,tunable,4,"low,medium,high,xhigh",67.03539823008849,61.79941002949852,3.4513274336283217,0.0,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,1.0,CLEAN,VARIABLE,3.6075199269281226,THRESHOLDED,0.03278688524590156,OVERTHINKING,2.6548672566371607,0.724959833303271,0.0396039603960395,13.053097345132741,low->medium: +26.99pp; medium->high: +10.40pp; high->xhigh: +2.65pp,CLEAN · THRESHOLDED · OVERTHINKING · VARIABLE,65.14478350189633,64.51232379898862,65.61691592920353,64.31028761061947,65.82993678887485,9.0,9.0,9.0,65.14478350189633,1.0,1.104592130214911,0.0,9
glm-5-3-flash,zhipu,single,1,max,63.39285714285714,63.39285714285714,-0.08849557522123064,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.5384615384615384,CLEAN,SINGLE-SETTING,4.377970751693644,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CLEAN · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,63.388432364096076,63.38400758533501,63.39285714285714,63.38400758533501,63.39285714285714,10.0,10.0,11.0,63.388432364096076,1.0,0.008849557522125906,1.0,10
deepseek-v4-pro,deepseek,single,1,max,62.83185840707964,62.83185840707964,3.4513274336283217,0.0,0.0,0.0,0.0,0.9230769230769231,0.23076923076923078,0.46153846153846156,CHURNING,SINGLE-SETTING,6.333430597228876,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CHURNING · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,63.00442477876106,62.83185840707964,63.176991150442475,62.83185840707964,63.176991150442475,11.5,11.0,12.0,63.00442477876106,1.0,0.3451327433628322,1.0,11
gpt-5-6-luna,openai,tunable,5,"low,medium,high,xhigh,max",67.1875,56.0978982300885,0.589970501474923,0.0,0.0,0.0,0.0,0.38461538461538464,0.17647058823529413,0.23076923076923078,CLEAN,VARIABLE,2.1480619497617375,THRESHOLDED,0.7970308536047308,SCALING,10.329092920353979,4.456539078709802,0.15373533648898946,22.93971238938053,low->medium: +9.73pp; medium->high: +32.96pp; high->xhigh: +12.61pp; xhigh->max: +10.33pp,CLEAN · THRESHOLDED · SCALING · VARIABLE,62.7142883480826,61.26979166666666,63.84340984513274,61.10992809734513,64.05681692477876,11.5,10.0,12.0,62.7142883480826,1.0,2.573618178466077,2.0,12
qwen3-8-max,alibaba,single,1,xhigh,57.46102449888642,57.46102449888642,1.5360493236599382,0.0,0.0,0.0,0.0,0.9230769230769231,0.38461538461538464,0.8461538461538461,COMPUTE-HEAVY,SINGLE-SETTING,2.6627926725075453,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,COMPUTE-HEAVY · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,57.537826965069414,57.46102449888642,57.61462943125241,57.46102449888642,57.61462943125241,13.0,13.0,15.0,57.537826965069414,1.0,0.15360493236599382,2.0,13
claude-opus-4-8,anthropic,tunable,5,"low,medium,high,xhigh,max",58.97435897435898,55.03556219538877,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.47058823529411764,0.7058823529411765,CLEAN,SUPPORTED,2.748529148317235,STEADY-SCALER,0.4049834095346777,DIMINISHING,4.6119428669764275,2.1985859404985164,0.07820250948351333,7.204447469934195,low->medium: +7.87pp; medium->high: +3.10pp; high->xhigh: +2.59pp; xhigh->max: +4.61pp,CLEAN · STEADY-SCALER · DIMINISHING · SUPPORTED,57.19617812642254,56.70615764487424,57.586520363307656,56.616528934305265,57.70334641502308,14.0,13.0,15.0,57.19617812642254,1.0,0.8803627184334175,2.0,14
gemini-3-8-flash,google,tunable,2,"medium,high",73.8255033557047,72.42160123537448,-1.3274336283185733,1.0,1.0,1.0,0.0,1.0,0.8823529411764706,0.0,SPAMMER,SUPPORTED,1.8490588897569016,STEADY-SCALER,0.3836475171151253,EFFICIENT,2.8078042406604453,2.0494143835150016,0.03803298471440058,2.8078042406604453,medium->high: +2.81pp,SPAMMER · STEADY-SCALER · EFFICIENT · SUPPORTED,55.61572299103166,52.64038496169151,58.60236289125141,52.579042347211505,58.656078873908655,15.0,13.0,20.0,73.1785828829364,0.76,5.9619779295599,7.0,15
muse-spark-1-2,muse,single,1,xhigh,54.86725663716814,54.86725663716814,1.1799410029498603,0.0,0.8049982921063662,1.0,0.0,0.8461538461538461,0.6923076923076923,0.0,CHURNING,SINGLE-SETTING,2.124297201927127,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CHURNING · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,54.926253687315636,54.86725663716814,54.985250737463126,54.86725663716814,54.985250737463126,16.0,15.0,16.0,54.926253687315636,1.0,0.11799410029498603,1.0,16
grok-4-5,xai,single,1,high,53.76106194690266,53.76106194690266,-1.1378002528444995,0.0,0.0,0.0,0.0,0.29411764705882354,0.29411764705882354,0.11764705882352941,CLEAN,SINGLE-SETTING,2.28080457287792,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CLEAN · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,53.70417193426043,53.64728192161821,53.76106194690266,53.64728192161821,53.76106194690266,17.0,16.0,18.0,53.70417193426043,1.0,0.11378002528444853,2.0,17
deepseek-v4-flash,deepseek,single,1,max,53.31858407079646,53.31858407079646,1.5170670037926755,0.0,0.0,0.0,0.0,0.8461538461538461,0.3076923076923077,0.0,CHURNING,SINGLE-SETTING,3.5669502150324286,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CHURNING · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,53.394437420986094,53.31858407079646,53.470290771175726,53.31858407079646,53.470290771175726,18.0,17.0,19.5,53.394437420986094,1.0,0.1517067003792647,2.5,18
muse-spark-1-1,muse,single,1,xhigh,53.31858407079646,53.31858407079646,0.6321112515802838,0.0,0.0,0.0,0.0,0.7692307692307693,0.23076923076923078,0.07692307692307693,CHURNING,SINGLE-SETTING,3.0353424539337115,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CHURNING · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,53.35018963337548,53.31858407079646,53.38179519595449,53.31858407079646,53.38179519595449,19.0,17.5,20.0,53.35018963337548,1.0,0.06321112515802696,2.5,19
claude-sonnet-5,anthropic,tunable,5,"low,medium,high,xhigh,max",53.84615384615385,50.58121603556527,-0.25284450063210784,0.0,0.0,0.0,0.0,1.0,0.35294117647058826,0.6153846153846154,COMPUTE-HEAVY,SUPPORTED,3.2902748159679134,STEADY-SCALER,0.23752004857239617,OVERTHINKING,4.178748081187102,1.4982108698846415,0.07760532150776046,5.61606535057863,low->medium: +9.27pp; medium->high: +8.45pp; high->xhigh: +1.44pp; xhigh->max: +4.18pp,COMPUTE-HEAVY · STEADY-SCALER · OVERTHINKING · SUPPORTED,52.41088573632282,51.9784864452944,52.76383993192217,51.97033062987089,52.77657697364151,20.0,19.0,21.0,52.41088573632282,1.0,0.7853534866277698,2.0,20
gpt-5-4,openai,single,1,xhigh,51.76991150442478,51.76991150442478,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.7692307692307693,0.5384615384615384,CLEAN,SINGLE-SETTING,1.5021049567382834,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CLEAN · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,51.76991150442478,51.76991150442478,51.76991150442478,51.76991150442478,51.76991150442478,21.0,21.0,22.0,51.76991150442478,1.0,0.0,1.0,21
gemini-3-7-flash,google,tunable,3,"low,medium,high",65.48672566371681,61.50442477876106,-1.858407079646014,0.8363636363636364,1.0,1.0,0.0,0.9090909090909091,0.8235294117647058,0.058823529411764705,SPAMMER,VARIABLE,2.488014621677236,SATURATING,0.0,EFFICIENT,-0.22123893805310502,-0.12156836861827171,0.0,11.725663716814154,low->medium: +11.73pp; medium->high: -0.22pp,SPAMMER · SATURATING · EFFICIENT · VARIABLE,51.643730421633606,49.4700636572165,53.790604059600156,49.144612541653125,54.082853405700895,22.0,17.0,22.0,63.91214917825537,0.8080424627498553,4.320540402383656,5.0,22
gemini-3-6-flash,google,single,1,high,46.68141592920354,46.68141592920354,0.0,0.0,0.16438513006630923,0.0,0.0,0.7058823529411765,0.7058823529411765,0.23529411764705882,CLEAN,SINGLE-SETTING,3.7048538992472775,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CLEAN · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,46.68141592920354,46.68141592920354,46.68141592920354,46.68141592920354,46.68141592920354,23.0,23.0,23.0,46.68141592920354,1.0,0.0,0.0,23
glm-5-2,zhipu,tunable,2,"high,max",43.77777777777778,40.03048180924287,2.0648967551622377,0.0,0.0,0.0,0.0,0.7669683257918551,0.06787330316742082,0.8733031674208145,COMPUTE-HEAVY,SUPPORTED,3.2378512842512333,EFFORT-HUNGRY,0.6940215367431953,SCALING,7.4945919370698135,2.90659949838445,0.1711962625218993,7.4945919370698135,high->max: +7.49pp,COMPUTE-HEAVY · EFFORT-HUNGRY · SCALING · SUPPORTED,42.24047197640118,41.862281219272376,42.62031465093412,41.82918387413963,42.65411996066864,24.0,24.0,24.0,42.24047197640118,1.0,0.7580334316617439,0.0,24
gemini-3-5-flash,google,single,1,high,36.06194690265487,36.06194690265487,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.5294117647058824,0.17647058823529413,CLEAN,SINGLE-SETTING,3.9663030105204387,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CLEAN · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,36.06194690265487,36.06194690265487,36.06194690265487,36.06194690265487,36.06194690265487,25.0,25.0,25.0,36.06194690265487,1.0,0.0,0.0,25
kimi-k2-7-code,moonshot,single,1,none,30.53097345132743,30.53097345132743,0.4424778761061887,0.0,0.0,0.0,0.0,0.927536231884058,0.07246376811594203,0.855072463768116,COMPUTE-HEAVY,SINGLE-SETTING,0.5007016522460913,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,COMPUTE-HEAVY · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,30.55309734513274,30.53097345132743,30.57522123893805,30.53097345132743,30.57522123893805,26.0,26.0,26.0,30.55309734513274,1.0,0.04424778761061887,0.0,26
claude-sonnet-4-6,anthropic,single,1,high,29.933481152993345,29.933481152993345,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.23529411764705882,0.8823529411764706,COMPUTE-HEAVY,SINGLE-SETTING,4.092141269189136,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,COMPUTE-HEAVY · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,29.933481152993345,29.933481152993345,29.933481152993345,29.933481152993345,29.933481152993345,27.0,27.0,27.0,29.933481152993345,1.0,0.0,0.0,27
gemini-3-1-pro-preview,google,single,1,high,11.725663716814159,11.725663716814159,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.7647058823529411,CLEAN,SINGLE-SETTING,1.481095461108845,SINGLE-SETTING,0.0,SINGLE-RUN,,,,0.0,,CLEAN · SINGLE-SETTING · SINGLE-RUN · SINGLE-SETTING,11.725663716814159,11.725663716814159,11.725663716814159,11.725663716814159,11.725663716814159,28.0,28.0,28.0,11.725663716814159,1.0,0.0,0.0,28
